company,company_url,amount_usd_millions,amount_reported_millions,reported_currency,stage,lead_investor,announced,source,source_url,also_reported_by
Pasito,https://insurtechdaily.io/company/pasito/,21,21,USD,,,2026-02-04,FinTech Global,https://news.google.com/rss/articles/CBMimgFBVV95cUxQWE5LXzhHcjZXQ19vZTlCeUdiUkVXcEVzUFpwYzJJNkJQc0FKM2xjbENla1d5RFgtbkM2SWVyVEF0VXN6NHhrdFdSc0txQ1dFaUFteW9aWWlRU0dPMVFtcVJrQnExSllzVkdPdU5aLXI2ZG9JRjJMZlpnOTUxU0Z6LWVhc1ZSa1NQSUFsT0JHbWJUZXg5TlJsS1VB?oc=5,
Lateral,https://insurtechdaily.io/company/lateral/,3.175,2.5,GBP,,Augmentum,2026-02-03,Tech Funding News,https://news.google.com/rss/articles/CBMilgFBVV95cUxQN0FrSk1uSjVFYUtsV1A2NVVjY1BheGdkdUJvTU5kTTZSbVQxWE9MY0dsdFVHVWpKQWtNcHJDNGFXSHZFSnNmMFdwd0c5TGZBN1RFQldvM2FodTVLZURXVFhBRl9rdGw3RENFWkJuWDBxRjlXNXo1czBLN3dmYi10OUxYc3h5ZVVuajltQ0tJRmlERVd6OFE?oc=5,
Butter Insurance,https://insurtechdaily.io/company/butter-insurance/,1.3,1.3,USD,Pre-seed,,2026-02-02,Beinsure,https://news.google.com/rss/articles/CBMid0FVX3lxTE9NRnNoUk1MNG95TENlVkVWMFJYaEw1M3cxeUhhSHVuejk4elV0RThodThtWU1vWDlrbmJFYnpEUXJ4c0VObE5JMC04WFNHR0YtNXlKb2p0U2xiVTJhTUIwbUdLZjFrZ2FiTlRQWE03Z25Od0ZCS2Fr?oc=5,
Olé Life,https://insurtechdaily.io/company/ol-life/,13,13,USD,Series B,,2026-02-02,Beinsure,https://news.google.com/rss/articles/CBMiaEFVX3lxTE1zaG9XNmlaZjNnWHByTC16SndRdnpjdnQ2UlpVbC0xb0tYRkNqTnhQLUI3cUJHRnp6VHFiYktDNXd1VTZaNmVjY0ZrSHphVFBPTzRvanlybmtDS0ltRHMxRzJBOVg4ejB0?oc=5,
Anzen,https://insurtechdaily.io/company/anzen/,16,16,USD,Series A,,2026-01-30,theinsurer.com,https://news.google.com/rss/articles/CBMi0wFBVV95cUxNaVZ2S21reHVYemk4NGQyNnYtazJZMTZNTGZscVF1TWlhMHkwSVhxT1J3UE5scjRCbThCVzlndU5ZWDhQc095VnNKdVlobFMxOURCcGgxNEJraDFNd19wSngyYk11NHl6b0RWbTZzazZ2YTVoZHZSQ05saWZ2anA4Ny1wbmhxREdLNWpKb2FBT2xCanhRY0diQnVkbnZfN29qRmFEU1c0ekh6a3k3WGpfSnFGS1M1QzUydDNVVUhOdWlJOUZ1QzVyOXRBU3BOM0ZsOXlJ?oc=5,
Sixfold,https://insurtechdaily.io/company/sixfold/,30,30,USD,,,2026-01-30,FinTech Global,https://news.google.com/rss/articles/CBMinAFBVV95cUxObTF2M2lyZUozZHhoM3A3ci1hSDBxREx3a1VZTUFpcUNJcmY5S2FWcGlKbUt6S2JpMjR6MmRCQk44NWt5UnFpNDZSUVh1Uk1vZGxadjdrV2Q4MHNCMmVyRHRmcjB5WVp6TXl3ODcwYTNpN1JqOS14RG9qNFAya2N0Q0FVc3gwc3hiX2pwc2c5dmR5eU9CV2wzT2JjWEs?oc=5,
Indigo,https://insurtechdaily.io/company/indigo/,50,50,USD,Series B,,2026-01-29,Business Wire,https://news.google.com/rss/articles/CBMi1AFBVV95cUxQQVBET1EyU1h4dTJ6Q19oUzNsUWY0WUJPSlBROUt5ZlhaMG5fOVFjRnloUWZWTW50ZmRmbWoybUdGTWVfZ0pLalNIekdMOWwwVVRlTFN6RHVsQ0pEWmc4TGYzcnZ3UVByRkUtVUEwSi1xdEIwV0ZWam92X2hnTTZ2Nll6bUkxMElUTlAwRk9pcFViVVpJa3M0QUhNRTdvajNoUmFpNmo2cU8zNUdrMDNZdTZsVzFGWTVkc1lkSmRsX3hnWGxxVUZYQTdhYjdvYTV3dFZUTQ?oc=5,FinTech Global
Mantas,https://insurtechdaily.io/company/mantas/,1.77,1.77,USD,Seed,,2026-01-28,TechAfrica News,https://news.google.com/rss/articles/CBMiuAFBVV95cUxNbTRrem9PZy05aTdINmZPVGJMOFY0ODIxeGotLU5FUnV0M3c1cDBuMGN0VkQ3Z0o3d2Q3YU5fTlh5UmNoYW8tYXowRUhxcmtDWGppNnNQQzZIUGszT29WWVJ6c01wWUdlLWk5NzdiSEo5VFhjOWp3dkNoVVZydE9pVy14YlRDOU9FM09ubXpKMnZoRl9kMnZQdmpYZHFXMW1BSUhoOFJ6Z1g0NFgwN0FHTDNWXzk5OUI0?oc=5,waya.media
Fulcrum,https://insurtechdaily.io/company/fulcrum/,25,25,USD,,CRV,2026-01-27,Insurance Business,https://news.google.com/rss/articles/CBMi3gFBVV95cUxQdE1GRWN0eXhXdFN5RG1tOVRCa25KekowUVJXd2N0bnhmd3c4c3JHeDJCTVUwYi1zb2k1ZmtXN01wZlkxbC1PZEdlRVJJeWZObkxXTXR6YUlPbHdDcksySUpaR3cwd1M2OUZxTGNGd09ydHpLdzU1VG5LZnQxNHNHZmJRWGh2MGR2MkpYU0pBck9wcFNPY2ZDeTAwSjF5WU5Bb1hNV0Ewa2hnMzJINVFad1FaeEFWOXpDVFVSbGRuakJULS1YMUtCVmJIVFV0SXBuT0pGcUE3VzJZczFDWWc?oc=5,Beinsure; livemint.com; Pulse 2.0; Business Wire
Pace,https://insurtechdaily.io/company/pace/,10,10,USD,,Sequoia,2026-01-27,Fortune,https://news.google.com/rss/articles/CBMirwFBVV95cUxQQTRpVGhBbjJyTENIYTdQbTdtbEstLVlMblFaV2ZEUnpzY0x4RUd6aFEzeTlPR0lrVVhvdXRxX0lmdXNienVBMk9kYjRoOWpGbUVRNzVwS3FyaEJ4OV85VXNTQlNDM204dmpNNGFFQVA4SUF2WkxlOTRWVGVNNVFYcktJSUVaSEJ1WHBrblpmbXVibjFSWm5YTjZtRW9QcEI4Y3JiYVlOc1ptbldCeTNJ?oc=5,FinTech Global
