acquirer,acquirer_url,target,target_url,seller,deal_type,price_disclosed,amount_usd_millions,amount_reported_millions,reported_currency,announced,source,source_url,also_reported_by
Mapfre,https://insurtechdaily.io/company/mapfre/,Safety Insurance,https://insurtechdaily.io/company/safety-insurance/,,Acquisition,yes,1540,1540,USD,2026-07-29,Carrier Management,https://www.carriermanagement.com/news/2026/07/29/290500.htm,Insurance Journal; Reinsurance News; FF News; Insurance Business; Carrier Management
Seventeen Group,https://insurtechdaily.io/company/seventeen-group/,Senate Insurance Brokers,https://insurtechdaily.io/company/senate-insurance-brokers/,,Acquisition,no,,,,2026-07-29,Insurance Business UK,https://www.insurancebusinessmag.com/uk/news/mergers-acquisitions/seventeen-group-acquires-gibraltar-broker-senate-insurance-brokers-584065.aspx,
Enterprise Risk Associates,https://insurtechdaily.io/company/enterprise-risk-associates/,Hamann Insurance Group,https://insurtechdaily.io/company/hamann-insurance-group/,,Acquisition,no,,,,2026-07-28,Insurance Journal,https://www.insurancejournal.com/news/southcentral/2026/07/28/879395.htm,Insurance Business
La Caisse and Cinven,,Optio,https://insurtechdaily.io/company/optio/,,Acquisition,no,,,,2026-07-27,Insurance Business UK,https://www.insurancebusinessmag.com/uk/news/breaking-news/la-caisse-and-cinven-to-acquire-u-k--specialty-insurance-platform-optio-group-583840.aspx,Coverager
Adam Riese,https://insurtechdaily.io/company/adam-riese/,Neodigital's insurance portfolio,,Neodigital,Asset purchase,no,,,,2026-07-24,Coverager,https://news.google.com/rss/articles/CBMiggFBVV95cUxOMm5BU1ZOZGptTzdEWlY5RU1nUlJzdmE3S2p3bzNzSGwzazlfNklTd2tfYUJZS2ZTZng5eWRUREpBdUtzRUxlbndnVGRtZFJMTWxCZHlESTJmQkNfdVFXLXN2MmV6Z3NPU3p0dC1FenNldFAyU1RKdF9JOGs0bGY2WXVB?oc=5,Coverager
Allianz,https://insurtechdaily.io/company/allianz/,HSBC Life Singapore,https://insurtechdaily.io/company/hsbc-life-singapore/,HSBC,Acquisition,yes,2100,2100,USD,2026-07-24,Insurance Journal,https://www.insurancejournal.com/news/international/2026/07/24/878902.htm,Insurance Journal
Árachas Group,https://insurtechdaily.io/company/rachas-group/,Allison White Insurance,https://insurtechdaily.io/company/allison-white-insurance/,,Acquisition,no,,,,2026-07-24,Coverager,https://coverager.com/arachas-group-acquires-allison-white-insurance/,
QuestGates,https://insurtechdaily.io/company/questgates/,Howell Wild,https://insurtechdaily.io/company/howell-wild/,,Acquisition,no,,,,2026-07-24,Insurance Business UK,https://www.insurancebusinessmag.com/uk/news/mergers-acquisitions/questgates-acquires-howell-wild-to-strengthen-liability-adjusting-arm-583565.aspx,
Genki,https://insurtechdaily.io/company/genki/,Wave Claims,https://insurtechdaily.io/company/wave-claims/,,Acquisition,no,,,,2026-07-23,Beinsure,https://news.google.com/rss/articles/CBMia0FVX3lxTE1WWmxZS1BSaVJsOU1lNS1jWmNJLWE2dTZUVHJRb3daa2RFOVhqUVM3LUpDbjZlSVg2WGdHWTA3eGRfeGJqc3hra2h5TFJ0Vm1WUzQ5aWMzVTFOVUQ3aWcxN1lUeDd5TzM0bTlN?oc=5,FinTech Global; PRWeb; Insurance Nerds
W&W Group,https://insurtechdaily.io/company/w-and-w-group/,Neodigital's insurance portfolio,,Neodigital,Asset purchase,no,,,,2026-07-22,ICLG,https://news.google.com/rss/articles/CBMirgFBVV95cUxNanVZdUl5WUZoaUowZlJjRFp2OW9xZF9iUzE4cVkwWnF1eGxjb0xtTVdOQ3diVWh3c0o0NU5JUHB6OUF1ckFwd2NCOTlydHlPQWJoNVlQN0E5RTBUV1RZeW1lMFpSSzg5a0o5WHpEQjdwVHhLMGZUM1BBOUZFQldDMlc3SEF2djctMWp5a01BbjZLZWlFcU1KMm5wazNnVllYbGgtby1Zd3ZHcGI5VWc?oc=5,
